Bone_Mandiblez,Thyroidz,Brainstemz,Cavity_Oralz,Esophagusz,Eye_Lz,Eye_Rz,Glnd_Submand_Lz,Glnd_Submand_Rz,Larynxz,LN_L_Ibz,LN_L_II-IVz,LN_L_RPz,LN_L_Vz,LN_R_Ibz,LN_R_II-IVz,LN_R_RPz,LN_R_Vz,Lobe_Temporal_Lz,Lobe_Temporal_Rz,Musc_Constrictz,Parotid_Lz,Parotid_Rz,SpinalCordz,Tracheaz
"['HN024.hdf5', 29993]","['HN297.hdf5', 7385]","['HN024.hdf5', 12521]","['HN021.hdf5', 141423]","['HN026.hdf5', 5749]","['HN021.hdf5', 5103]","['HN024.hdf5', 5490]","['HN038.hdf5', 7845]","['HN035.hdf5', 8003]","['HN026.hdf5', 29320]","['HN025.hdf5', 6475]","['HN021.hdf5', 48100]","['HN022.hdf5', 1856]","['HN028.hdf5', 49512]","['HN027.hdf5', 15793]","['HN029.hdf5', 36961]","['HN022.hdf5', 1591]","['HN028.hdf5', 28823]","['HN024.hdf5', 24405]","['HN024.hdf5', 28048]","['HN022.hdf5', 9978]","['HN024.hdf5', 9100]","['HN025.hdf5', 12674]","['HN022.hdf5', 22602]","['HN065.hdf5', 16794]"
"['HN025.hdf5', 37021]","['HN300.hdf5', 3933]","['HN025.hdf5', 10437]","['HN022.hdf5', 156964]","['HN027.hdf5', 10146]","['HN024.hdf5', 4880]","['HN026.hdf5', 3966]","['HN040.hdf5', 4448]","['HN038.hdf5', 6473]","['HN027.hdf5', 20261]","['HN026.hdf5', 21513]","['HN022.hdf5', 72219]","['HN024.hdf5', 1208]","['HN032.hdf5', 7030]","['HN028.hdf5', 58322]","['HN033.hdf5', 49285]","['HN024.hdf5', 4841]","['HN029.hdf5', 12966]","['HN025.hdf5', 36887]","['HN026.hdf5', 44573]","['HN024.hdf5', 8344]","['HN027.hdf5', 17665]","['HN026.hdf5', 11928]","['HN024.hdf5', 13258]","['HN066.hdf5', 8431]"
"['HN026.hdf5', 52280]","['HN301.hdf5', 9871]","['HN026.hdf5', 22497]","['HN024.hdf5', 147465]","['HN028.hdf5', 21434]","['HN026.hdf5', 4260]","['HN027.hdf5', 5512]","['HN047.hdf5', 3785]","['HN040.hdf5', 5659]","['HN028.hdf5', 34273]","['HN027.hdf5', 13845]","['HN024.hdf5', 54062]","['HN025.hdf5', 8925]","['HN033.hdf5', 28407]","['HN029.hdf5', 10699]","['HN035.hdf5', 107174]","['HN025.hdf5', 1045]","['HN032.hdf5', 6230]","['HN026.hdf5', 42407]","['HN027.hdf5', 48711]","['HN025.hdf5', 14069]","['HN028.hdf5', 48480]","['HN027.hdf5', 17088]","['HN025.hdf5', 21767]","['HN067.hdf5', 12499]"
"['HN028.hdf5', 43497]","['HN306.hdf5', 2095]","['HN027.hdf5', 14453]","['HN025.hdf5', 110729]","['HN029.hdf5', 9103]","['HN027.hdf5', 5406]","['HN029.hdf5', 4808]","['HN049.hdf5', 6153]","['HN041.hdf5', 5747]","['HN033.hdf5', 26300]","['HN029.hdf5', 10879]","['HN025.hdf5', 60942]","['HN026.hdf5', 1341]","['HN035.hdf5', 25218]","['HN035.hdf5', 13345]","['HN036.hdf5', 37350]","['HN026.hdf5', 1360]","['HN036.hdf5', 7047]","['HN028.hdf5', 62758]","['HN029.hdf5', 35636]","['HN026.hdf5', 13198]","['HN029.hdf5', 12711]","['HN028.hdf5', 46165]","['HN026.hdf5', 27098]","['HN068.hdf5', 7910]"
"['HN032.hdf5', 36801]","['HN307.hdf5', 4957]","['HN028.hdf5', 20083]","['HN026.hdf5', 180850]","['HN032.hdf5', 6570]","['HN028.hdf5', 4029]","['HN033.hdf5', 6033]","['HN053.hdf5', 5900]","['HN042.hdf5', 4062]","['HN035.hdf5', 39940]","['HN032.hdf5', 8422]","['HN026.hdf5', 53982]","['HN027.hdf5', 1682]","['HN037.hdf5', 28289]","['HN036.hdf5', 11461]","['HN037.hdf5', 48599]","['HN027.hdf5', 3098]","['HN047.hdf5', 9464]","['HN029.hdf5', 31798]","['HN033.hdf5', 44149]","['HN027.hdf5', 15918]","['HN032.hdf5', 13781]","['HN029.hdf5', 12087]","['HN027.hdf5', 18496]","['HN069.hdf5', 19843]"
"['HN033.hdf5', 34486]","['HN308.hdf5', 5567]","['HN029.hdf5', 13742]","['HN027.hdf5', 132426]","['HN033.hdf5', 16867]","['HN029.hdf5', 4592]","['HN037.hdf5', 4699]","['HN056.hdf5', 3364]","['HN044.hdf5', 6833]","['HN036.hdf5', 37196]","['HN035.hdf5', 11053]","['HN027.hdf5', 70142]","['HN028.hdf5', 3586]","['HN038.hdf5', 13453]","['HN045.hdf5', 12675]","['HN040.hdf5', 32748]","['HN028.hdf5', 3310]","['HN049.hdf5', 11883]","['HN032.hdf5', 59934]","['HN035.hdf5', 39123]","['HN028.hdf5', 9836]","['HN035.hdf5', 23001]","['HN032.hdf5', 15212]","['HN028.hdf5', 23850]","['HN071.hdf5', 21468]"
"['HN035.hdf5', 39626]","['HN310.hdf5', 43445]","['HN032.hdf5', 9586]","['HN028.hdf5', 221606]","['HN035.hdf5', 11512]","['HN032.hdf5', 3739]","['HN038.hdf5', 4981]","['HN059.hdf5', 3945]","['HN045.hdf5', 4389]","['HN037.hdf5', 23417]","['HN037.hdf5', 17238]","['HN028.hdf5', 109876]","['HN032.hdf5', 2006]","['HN040.hdf5', 10499]","['HN047.hdf5', 11795]","['HN042.hdf5', 25497]","['HN029.hdf5', 1712]","['HN053.hdf5', 10698]","['HN033.hdf5', 39385]","['HN036.hdf5', 38379]","['HN032.hdf5', 9261]","['HN036.hdf5', 10853]","['HN033.hdf5', 13009]","['HN032.hdf5', 25019]","['HN082.hdf5', 23269]"
"['HN036.hdf5', 36201]","['HN313.hdf5', 8072]","['HN038.hdf5', 14085]","['HN029.hdf5', 181520]","['HN037.hdf5', 7963]","['HN033.hdf5', 6085]","['HN041.hdf5', 4444]","['HN063.hdf5', 3550]","['HN047.hdf5', 4017]","['HN038.hdf5', 16467]","['HN038.hdf5', 19965]","['HN032.hdf5', 67748]","['HN033.hdf5', 1940]","['HN041.hdf5', 10751]","['HN053.hdf5', 10989]","['HN044.hdf5', 38799]","['HN035.hdf5', 3253]","['HN056.hdf5', 7844]","['HN036.hdf5', 45546]","['HN041.hdf5', 46635]","['HN033.hdf5', 12209]","['HN037.hdf5', 20750]","['HN035.hdf5', 18654]","['HN033.hdf5', 14995]","['HN088.hdf5', 21288]"
"['HN037.hdf5', 24942]","['HN314.hdf5', 19368]","['HN040.hdf5', 12128]","['HN032.hdf5', 114895]","['HN038.hdf5', 7718]","['HN035.hdf5', 4576]","['HN042.hdf5', 4374]","['HN064.hdf5', 6011]","['HN053.hdf5', 2119]","['HN040.hdf5', 37774]","['HN040.hdf5', 16240]","['HN035.hdf5', 92356]","['HN035.hdf5', 2037]","['HN044.hdf5', 19685]","['HN059.hdf5', 17561]","['HN045.hdf5', 37699]","['HN036.hdf5', 2333]","['HN058.hdf5', 14300]","['HN041.hdf5', 46439]","['HN042.hdf5', 32843]","['HN036.hdf5', 12881]","['HN038.hdf5', 14853]","['HN037.hdf5', 20887]","['HN035.hdf5', 29000]","['HN089.hdf5', 24865]"
"['HN038.hdf5', 31872]","['HN316.hdf5', 7736]","['HN041.hdf5', 16583]","['HN033.hdf5', 183892]","['HN040.hdf5', 9819]","['HN037.hdf5', 4522]","['HN044.hdf5', 4111]","['HN065.hdf5', 4676]","['HN057.hdf5', 3903]","['HN041.hdf5', 29784]","['HN041.hdf5', 17991]","['HN036.hdf5', 26679]","['HN041.hdf5', 1751]","['HN045.hdf5', 8465]","['HN060.hdf5', 20162]","['HN047.hdf5', 63304]","['HN047.hdf5', 1690]","['HN059.hdf5', 13683]","['HN044.hdf5', 43983]","['HN044.hdf5', 50448]","['HN037.hdf5', 11297]","['HN040.hdf5', 14799]","['HN038.hdf5', 14393]","['HN036.hdf5', 29319]","['HN098.hdf5', 10720]"
"['HN041.hdf5', 38845]","['HN317.hdf5', 3631]","['HN042.hdf5', 8265]","['HN035.hdf5', 144766]","['HN041.hdf5', 20049]","['HN038.hdf5', 5022]","['HN045.hdf5', 2948]","['HN066.hdf5', 4748]","['HN059.hdf5', 3953]","['HN042.hdf5', 22434]","['HN042.hdf5', 3843]","['HN037.hdf5', 43362]","['HN042.hdf5', 1677]","['HN049.hdf5', 16419]","['HN065.hdf5', 11115]","['HN049.hdf5', 25478]","['HN049.hdf5', 3535]","['HN060.hdf5', 12353]","['HN045.hdf5', 33512]","['HN045.hdf5', 31997]","['HN038.hdf5', 9062]","['HN041.hdf5', 12543]","['HN040.hdf5', 16018]","['HN037.hdf5', 20530]","['HN099.hdf5', 16473]"
"['HN042.hdf5', 24969]","['HN319.hdf5', 7128]","['HN044.hdf5', 7129]","['HN036.hdf5', 177597]","['HN042.hdf5', 9402]","['HN040.hdf5', 4525]","['HN047.hdf5', 3184]","['HN068.hdf5', 5217]","['HN061.hdf5', 3776]","['HN045.hdf5', 22354]","['HN044.hdf5', 16958]","['HN038.hdf5', 69083]","['HN045.hdf5', 2149]","['HN052.hdf5', 7477]","['HN066.hdf5', 10695]","['HN053.hdf5', 69873]","['HN053.hdf5', 3513]","['HN064.hdf5', 11945]","['HN047.hdf5', 9078]","['HN047.hdf5', 11711]","['HN040.hdf5', 17047]","['HN042.hdf5', 6169]","['HN041.hdf5', 10275]","['HN038.hdf5', 29623]","['HN101.hdf5', 10650]"
"['HN044.hdf5', 40285]","['HN320.hdf5', 6609]","['HN045.hdf5', 14301]","['HN037.hdf5', 170370]","['HN044.hdf5', 6776]","['HN042.hdf5', 4167]","['HN049.hdf5', 4868]","['HN073.hdf5', 5606]","['HN063.hdf5', 3774]","['HN047.hdf5', 25133]","['HN059.hdf5', 10932]","['HN040.hdf5', 74180]","['HN052.hdf5', 3093]","['HN060.hdf5', 16398]","['HN068.hdf5', 9643]","['HN056.hdf5', 71267]","['HN056.hdf5', 2044]","['HN066.hdf5', 5211]","['HN052.hdf5', 47897]","['HN052.hdf5', 78394]","['HN044.hdf5', 12693]","['HN044.hdf5', 23017]","['HN042.hdf5', 5856]","['HN040.hdf5', 33279]","['HN106.hdf5', 9207]"
"['HN047.hdf5', 35016]","['HN321.hdf5', 6597]","['HN047.hdf5', 10149]","['HN038.hdf5', 142234]","['HN045.hdf5', 10479]","['HN045.hdf5', 3160]","['HN052.hdf5', 3760]","['HN077.hdf5', 2262]","['HN064.hdf5', 5959]","['HN053.hdf5', 23790]","['HN060.hdf5', 22863]","['HN041.hdf5', 60890]","['HN057.hdf5', 1942]","['HN061.hdf5', 13645]","['HN069.hdf5', 13485]","['HN057.hdf5', 33980]","['HN057.hdf5', 2212]","['HN068.hdf5', 13796]","['HN056.hdf5', 22784]","['HN056.hdf5', 21421]","['HN045.hdf5', 7717]","['HN045.hdf5', 16737]","['HN044.hdf5', 20417]","['HN044.hdf5', 15620]","['HN110.hdf5', 10157]"
"['HN049.hdf5', 30806]","['HN325.hdf5', 3819]","['HN049.hdf5', 16002]","['HN040.hdf5', 122346]","['HN047.hdf5', 16217]","['HN047.hdf5', 3328]","['HN057.hdf5', 5221]","['HN081.hdf5', 7522]","['HN067.hdf5', 5281]","['HN056.hdf5', 35564]","['HN061.hdf5', 9654]","['HN042.hdf5', 45340]","['HN058.hdf5', 1799]","['HN062.hdf5', 25939]","['HN073.hdf5', 10396]","['HN058.hdf5', 64559]","['HN058.hdf5', 3777]","['HN073.hdf5', 8815]","['HN057.hdf5', 53568]","['HN059.hdf5', 24545]","['HN049.hdf5', 16246]","['HN047.hdf5', 14339]","['HN045.hdf5', 13537]","['HN047.hdf5', 17660]","['HN112.hdf5', 19389]"
"['HN053.hdf5', 29826]","['HN327.hdf5', 11651]","['HN052.hdf5', 11793]","['HN044.hdf5', 116278]","['HN049.hdf5', 11661]","['HN049.hdf5', 4825]","['HN058.hdf5', 5257]","['HN085.hdf5', 5642]","['HN069.hdf5', 6173]","['HN057.hdf5', 19254]","['HN063.hdf5', 13311]","['HN044.hdf5', 70451]","['HN061.hdf5', 2001]","['HN063.hdf5', 28686]","['HN075.hdf5', 16247]","['HN059.hdf5', 78387]","['HN059.hdf5', 1536]","['HN075.hdf5', 7431]","['HN058.hdf5', 41160]","['HN060.hdf5', 36506]","['HN052.hdf5', 16948]","['HN052.hdf5', 1626]","['HN047.hdf5', 15604]","['HN052.hdf5', 22418]","['HN129.hdf5', 12270]"
"['HN056.hdf5', 43829]","['HN329.hdf5', 5178]","['HN056.hdf5', 19154]","['HN045.hdf5', 122675]","['HN052.hdf5', 3237]","['HN052.hdf5', 3168]","['HN059.hdf5', 3761]","['HN087.hdf5', 6255]","['HN070.hdf5', 4736]","['HN058.hdf5', 22762]","['HN066.hdf5', 9253]","['HN045.hdf5', 53124]","['HN062.hdf5', 1576]","['HN064.hdf5', 13871]","['HN077.hdf5', 9391]","['HN061.hdf5', 37500]","['HN060.hdf5', 1225]","['HN077.hdf5', 13294]","['HN060.hdf5', 41728]","['HN061.hdf5', 47137]","['HN057.hdf5', 12761]","['HN056.hdf5', 16447]","['HN049.hdf5', 33959]","['HN053.hdf5', 20838]","['HN135.hdf5', 20413]"
"['HN058.hdf5', 34277]","['HN330.hdf5', 2630]","['HN057.hdf5', 17881]","['HN047.hdf5', 53366]","['HN056.hdf5', 17474]","['HN056.hdf5', 3449]","['HN060.hdf5', 4629]","['HN092.hdf5', 4637]","['HN075.hdf5', 6422]","['HN059.hdf5', 38325]","['HN067.hdf5', 8370]","['HN049.hdf5', 51173]","['HN063.hdf5', 2270]","['HN067.hdf5', 5258]","['HN083.hdf5', 13138]","['HN063.hdf5', 61777]","['HN064.hdf5', 1956]","['HN081.hdf5', 19848]","['HN061.hdf5', 43638]","['HN062.hdf5', 29337]","['HN058.hdf5', 8648]","['HN057.hdf5', 14110]","['HN052.hdf5', 19015]","['HN056.hdf5', 15563]","['HN144.hdf5', 26974]"
"['HN059.hdf5', 48218]","['HN331.hdf5', 13985]","['HN059.hdf5', 13472]","['HN049.hdf5', 116023]","['HN059.hdf5', 9229]","['HN057.hdf5', 5491]","['HN061.hdf5', 4463]","['HN094.hdf5', 5831]","['HN081.hdf5', 8842]","['HN060.hdf5', 22755]","['HN069.hdf5', 23012]","['HN052.hdf5', 112605]","['HN064.hdf5', 2073]","['HN069.hdf5', 8370]","['HN086.hdf5', 9549]","['HN064.hdf5', 53599]","['HN065.hdf5', 2555]","['HN082.hdf5', 31761]","['HN062.hdf5', 26269]","['HN063.hdf5', 57974]","['HN059.hdf5', 9146]","['HN059.hdf5', 20819]","['HN053.hdf5', 11629]","['HN057.hdf5', 35790]","['HN146.hdf5', 10612]"
"['HN060.hdf5', 50369]","['HN332.hdf5', 9833]","['HN060.hdf5', 26929]","['HN052.hdf5', 147113]","['HN062.hdf5', 4248]","['HN058.hdf5', 4938]","['HN062.hdf5', 5137]","['HN095.hdf5', 2375]","['HN083.hdf5', 4369]","['HN063.hdf5', 28018]","['HN075.hdf5', 19489]","['HN053.hdf5', 56314]","['HN067.hdf5', 1782]","['HN070.hdf5', 7221]","['HN087.hdf5', 18825]","['HN066.hdf5', 63661]","['HN073.hdf5', 1226]","['HN085.hdf5', 7992]","['HN064.hdf5', 64234]","['HN065.hdf5', 38967]","['HN061.hdf5', 13825]","['HN060.hdf5', 36747]","['HN057.hdf5', 14022]","['HN058.hdf5', 24962]","['HN153.hdf5', 7367]"
"['HN273.hdf5', 49672]","['HN336.hdf5', 6539]","['HN063.hdf5', 29393]","['HN053.hdf5', 213995]","['HN063.hdf5', 10972]","['HN059.hdf5', 3640]","['HN063.hdf5', 3567]","['HN098.hdf5', 3854]","['HN087.hdf5', 7370]","['HN064.hdf5', 34797]","['HN077.hdf5', 9738]","['HN056.hdf5', 64530]","['HN069.hdf5', 1606]","['HN071.hdf5', 10793]","['HN088.hdf5', 11195]","['HN068.hdf5', 58943]","['HN075.hdf5', 1040]","['HN087.hdf5', 13441]","['HN066.hdf5', 52749]","['HN067.hdf5', 39291]","['HN062.hdf5', 8730]","['HN061.hdf5', 8957]","['HN058.hdf5', 18050]","['HN059.hdf5', 16961]","['HN156.hdf5', 27086]"
"['HN277.hdf5', 18977]","['HN338.hdf5', 7138]","['HN064.hdf5', 20215]","['HN056.hdf5', 120337]","['HN065.hdf5', 12994]","['HN060.hdf5', 4708]","['HN064.hdf5', 4894]","['HN099.hdf5', 6173]","['HN091.hdf5', 3915]","['HN065.hdf5', 24590]","['HN080.hdf5', 27843]","['HN057.hdf5', 30143]","['HN070.hdf5', 1018]","['HN075.hdf5', 6004]","['HN090.hdf5', 38786]","['HN069.hdf5', 40853]","['HN077.hdf5', 1798]","['HN089.hdf5', 13438]","['HN067.hdf5', 42710]","['HN068.hdf5', 40788]","['HN063.hdf5', 13537]","['HN062.hdf5', 14794]","['HN059.hdf5', 23522]","['HN060.hdf5', 29486]","['HN157.hdf5', 17341]"
"['HN278.hdf5', 41638]","['HN339.hdf5', 7772]","['HN066.hdf5', 13807]","['HN057.hdf5', 234899]","['HN066.hdf5', 8296]","['HN061.hdf5', 4719]","['HN066.hdf5', 4194]","['HN101.hdf5', 4571]","['HN092.hdf5', 5596]","['HN066.hdf5', 26865]","['HN081.hdf5', 14976]","['HN059.hdf5', 65696]","['HN071.hdf5', 2459]","['HN077.hdf5', 8686]","['HN091.hdf5', 7232]","['HN071.hdf5', 39055]","['HN080.hdf5', 1406]","['HN090.hdf5', 11135]","['HN069.hdf5', 63415]","['HN069.hdf5', 77644]","['HN064.hdf5', 15301]","['HN063.hdf5', 28130]","['HN060.hdf5', 31283]","['HN061.hdf5', 26227]","['HN161.hdf5', 23112]"
"['HN281.hdf5', 31883]","['HN340.hdf5', 6189]","['HN068.hdf5', 16989]","['HN058.hdf5', 143117]","['HN067.hdf5', 11225]","['HN062.hdf5', 4697]","['HN068.hdf5', 4553]","['HN102.hdf5', 2985]","['HN095.hdf5', 4597]","['HN067.hdf5', 21101]","['HN082.hdf5', 12786]","['HN061.hdf5', 36232]","['HN075.hdf5', 1187]","['HN080.hdf5', 3882]","['HN096.hdf5', 8942]","['HN073.hdf5', 44093]","['HN081.hdf5', 1195]","['HN091.hdf5', 16738]","['HN070.hdf5', 19819]","['HN071.hdf5', 44840]","['HN065.hdf5', 16802]","['HN065.hdf5', 16216]","['HN061.hdf5', 9590]","['HN062.hdf5', 14139]","['HN175.hdf5', 10737]"
"['HN283.hdf5', 36435]","['HN342.hdf5', 3571]","['HN070.hdf5', 8345]","['HN059.hdf5', 127363]","['HN068.hdf5', 9520]","['HN065.hdf5', 4844]","['HN069.hdf5', 5484]","['HN103.hdf5', 3878]","['HN098.hdf5', 4383]","['HN068.hdf5', 23758]","['HN083.hdf5', 16361]","['HN062.hdf5', 63627]","['HN077.hdf5', 4110]","['HN081.hdf5', 21664]","['HN098.hdf5', 11908]","['HN075.hdf5', 58248]","['HN082.hdf5', 2542]","['HN096.hdf5', 8030]","['HN071.hdf5', 39185]","['HN073.hdf5', 54721]","['HN067.hdf5', 16397]","['HN066.hdf5', 10535]","['HN062.hdf5', 17091]","['HN063.hdf5', 22471]","['HN183.hdf5', 14407]"
